country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year,gdp_per_capita,generation
Japan,2015,male,25-34 years,2079,21778131,49.95,Jamaica1986,0.898,"2,754,566,176",59641,Generation X
Australia,1985,female,35-54 years,167,4731168,10.25,Bahrain2009,,"22,938,218,085",21661,Boomers
Uzbekistan,1987,female,55-74 years,10,1027265,3.27,Trinidad and Tobago2005,,"15,982,282,462",251,Silent
Kyrgyzstan,1986,male,25-34 years,24,764341,59.07,Italy2011,,"2,276,292,404,601",2950,Silent
Italy,1994,male,75+ years,548,8319602,96.23,Maldives2002,,"897,031,250",4131,Silent
Trinidad and Tobago,2009,female,5-14 years,0,13247,0.47,Czech Republic2006,,"155,463,807,113",9289,Silent
Belize,2005,male,35-54 years,10,60603,0.22,Brazil2009,,"1,667,019,780,934",6256,Boomers
Thailand,2005,male,75+ years,894,4258582,2.77,Thailand2002,,"134,300,851,255",3116,Silent
Greece,1996,male,35-54 years,390,18895560,30.84,Hungary2012,0.816,"127,856,647,108",29163,Boomers
Qatar,2010,female,55-74 years,15,465391,6.13,Russian Federation1999,,"195,905,767,669",31021,Silent
Denmark,2004,male,75+ years,18,278,0.19,Czech Republic1993,,"40,614,350,197",29474,Millenials
Malta,1990,female,25-34 years,7,153596,18.88,Malta2007,,"7,880,509,171",24487,Generation X
Suriname,2007,male,25-34 years,4,23131,1.76,Slovenia2006,,"39,587,732,029",7876,Generation X
Malta,1997,male,25-34 years,0,278,0.0,Mexico1997,0.776,"500,413,483,109",11079,Generation X
Hungary,2010,male,25-34 years,226,1234233,19.3,Canada1986,0.828,"377,437,927,312",27942,Generation X
Switzerland,2002,male,75+ years,758,82828,100.74,Trinidad and Tobago1990,,"5,068,000,000",48471,Silent
Sweden,2015,male,15-24 years,48,130370,26.75,Grenada2003,0.885,"669,316,654,017",44900,Generation X
Estonia,1986,female,75+ years,15,85071,60.5,Estonia2001,,"6,245,069,734",18111,G.I. Generation
Czech Republic,2013,male,25-34 years,8,249340,23.16,Cyprus2005,,"18,703,146,375",52389,Generation X
Greece,1998,female,75+ years,112,218298,10.92,Greece1998,,"144,428,172,835",6531,G.I. Generation
Singapore,2003,male,55-74 years,23,309191,31.49,Kazakhstan2011,,"192,626,507,972",44075,Silent
Bulgaria,2006,female,35-54 years,1001,1465803,5.68,Bulgaria1993,,"9,697,416,974",3179,Boomers
Georgia,1999,female,55-74 years,10,653446,5.06,Belarus2002,,"14,594,249,023",4218,Silent
Japan,2007,female,35-54 years,2,433051,10.36,Argentina2006,0.821,"232,557,260,817",7776,Generation X
Jamaica,2002,female,75+ years,0,52218,0.51,Italy2013,,"1,832,868,490,534",11293,Silent
Croatia,2014,female,15-24 years,0,56586,0.56,Poland2004,,"255,102,252,843",12671,Generation X
Austria,2006,male,55-74 years,419,1472084,27.04,El Salvador2000,0.828,"11,784,927,700",38602,Silent
Greece,2001,male,35-54 years,317,324538,27.24,Guatemala1986,0.824,"7,231,963,516",22675,Generation X
Cyprus,1998,female,55-74 years,19,971643,2.97,Azerbaijan2004,,"8,680,472,169",21546,Silent
Netherlands,1998,male,75+ years,93,713031,18.56,Netherlands2011,,"893,757,287,202",30478,Generation X
Azerbaijan,1999,male,5-14 years,95,1287305,3.88,Guatemala2010,,"41,338,595,381",26074,Millenials
Suriname,1998,female,55-74 years,6,80802,2.41,Russian Federation2000,,"259,708,496,267",3343,Silent
Germany,2000,female,55-74 years,23,903709,0.22,Georgia2015,,"13,993,546,732",24933,Silent
Finland,1996,male,15-24 years,84,465461,21.22,France1987,,"934,173,305,686",39100,Generation X
Albania,2012,female,15-24 years,0,66282,0.0,Armenia2000,0.726,"1,911,563,665",251,Millenials
Norway,2001,female,25-34 years,0,62164,2.6,Latvia2003,,"11,748,433,157",21734,Generation X
Slovakia,2002,female,35-54 years,64,728350,2.26,Portugal2000,,"118,358,489,958",4007,Generation X
Switzerland,2007,female,15-24 years,3,626721,9.03,United States2010,0.897,"22,157,948,396",42058,Millenials
Grenada,2008,male,55-74 years,42,588936,32.86,Greece2010,0.777,"299,361,576,558",7296,Boomers
United States,2012,male,25-34 years,86,611716,33.64,Paraguay2005,,"8,734,653,809",30441,Boomers
Lithuania,2000,female,5-14 years,22,2457003,3.12,South Africa2014,,"350,904,575,292",40763,Millenials
Ukraine,1999,female,75+ years,12,398760,34.75,Sweden2007,,"487,816,328,342",11130,G.I. Generation
New Zealand,2008,male,55-74 years,61,109841,11.39,Norway1987,,"94,230,055,659",23655,Silent
Italy,2002,female,5-14 years,0,1113558,0.12,Israel1996,,"109,957,321,960",6718,Millenials
Guyana,2005,female,75+ years,6,278,25.12,El Salvador2010,,"18,447,922,400",8159,G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,6,100611,1.35,Argentina1994,0.826,"257,440,000,000",15188,Millenials
Argentina,1999,female,35-54 years,280,1247221,22.92,El Salvador2008,,"17,986,886,200",28111,Generation X
Brazil,1996,male,5-14 years,0,1459,0.0,Costa Rica1988,,"5,918,469,800",18431,Millenials
Czech Republic,2014,male,55-74 years,438,917762,9.77,Czech Republic1991,0.716,"29,675,502,270",16161,Millenials
Ireland,1998,male,15-24 years,73,3585030,25.88,Hungary1998,,"48,770,466,839",47932,Millenials
Romania,2002,female,5-14 years,277,2590032,2.43,Russian Federation2011,,"2,051,661,732,060",23283,Millenials
Turkmenistan,1996,male,5-14 years,899,20340200,2.98,Belize1989,,"21,776,609,772",23605,Millenials
France,2014,female,35-54 years,51,806096,11.98,Belarus1992,,"17,037,037,037",7495,Boomers
Czech Republic,2001,male,75+ years,368,3128637,36.91,Greece2005,,"247,783,001,865",5182,Silent
Turkmenistan,1987,female,75+ years,3,25844,0.46,Armenia2007,,"9,206,301,700",12374,G.I. Generation
Netherlands,2000,male,75+ years,56,278,43.46,Malta1997,0.825,"3,705,372,039",5945,Silent
Netherlands,2005,female,35-54 years,10,3174504,0.37,Malta2007,,"6,394,851,387",43086,Generation Z
Denmark,2000,female,25-34 years,13,278,2.84,Grenada2003,0.669,"591,018,407",5689,Generation X
Puerto Rico,1985,female,75+ years,17,244435,4.54,Puerto Rico2002,,"71,623,500,000",7286,G.I. Generation
Saint Vincent and Grenadines,2000,female,15-24 years,1,58856,0.0,Guatemala1989,,"8,410,724,361",2754,Generation X
Bahrain,1994,male,25-34 years,14,15497,13.66,Bahamas1987,,"2,713,999,900",25382,Boomers
France,2008,female,55-74 years,769,4884626,1.62,Croatia2001,,"23,289,671,102",34341,Boomers
Saint Lucia,1986,male,35-54 years,0,1474,4.71,Japan2015,,"4,394,977,752,878",3032,Boomers
Italy,1997,male,25-34 years,812,688567,25.94,Israel1986,,"34,083,532,195",26630,Boomers
Guatemala,1999,female,55-74 years,16,607029,2.18,Latvia2004,,"14,373,269,156",251,Boomers
Cuba,1996,female,5-14 years,2,402700,0.23,Belarus1993,,"16,280,991,736",21059,Generation Z
Ireland,2001,female,75+ years,1,233641,3.16,Kuwait2006,,"101,550,654,721",17404,Silent
Cyprus,1999,male,25-34 years,0,278,2.21,Greece1990,,"97,891,090,929",21142,Generation X
Costa Rica,1989,female,35-54 years,0,278,0.11,Georgia1992,0.665,"3,690,328,964",7430,Boomers
United Kingdom,2000,male,15-24 years,577,2439619,4.07,United Kingdom1986,,"601,452,653,181",15992,Millenials
Russian Federation,2001,male,35-54 years,21,154397,8.02,Portugal1996,,"122,629,812,841",6734,Generation X
Netherlands,2009,male,75+ years,2895,1177395,29.93,Kyrgyzstan1995,0.898,"1,661,018,519",56600,Silent
Italy,1999,female,35-54 years,75,783487,13.96,Jamaica2010,0.816,"13,191,645,686",9261,Boomers
Uzbekistan,1998,male,75+ years,111,93070,76.65,Belize2000,,"832,072,450",522,G.I. Generation
Malta,1999,male,15-24 years,3,278,19.79,Japan2002,,"4,115,116,279,070",13686,Generation X
Singapore,2004,female,25-34 years,58,424535,1.88,Suriname1992,,"404,600,000",7415,Generation X
Slovenia,2001,female,75+ years,13,113214,54.36,Slovenia2006,,"39,587,732,029",2378,Silent
Sri Lanka,1990,male,15-24 years,116,627270,25.87,Germany2000,,"1,949,953,934,034",2315,Generation X
Ireland,1994,male,15-24 years,75,697998,36.22,Japan2011,,"6,157,459,594,824",25374,Generation X
Ecuador,1994,female,5-14 years,0,335471,0.38,Ukraine2007,,"142,719,009,901",5705,Generation X
Colombia,1998,female,35-54 years,1043,17521024,3.56,Chile2002,,"69,736,811,435",2539,Boomers
Puerto Rico,2004,male,55-74 years,13,278,22.33,Paraguay1987,,"3,778,316,380",2580,Generation X
Mexico,1985,female,75+ years,7,4727,11.87,New Zealand1992,,"41,636,005,955",7168,G.I. Generation
Aruba,2013,male,5-14 years,9,342356,9.43,Aruba2008,,"2,791,960,894",18875,Millenials
Norway,2012,male,75+ years,81,869272,5.16,Aruba2005,0.759,"2,331,005,587",47809,Silent
Barbados,2013,male,5-14 years,0,349403,0.04,Chile2011,0.642,"252,251,992,029",8430,Generation Z
Iceland,2001,female,25-34 years,0,278,4.8,Chile1995,,"73,447,063,319",16248,Generation X
Belgium,2002,male,55-74 years,26,473679,31.75,Belgium2012,,"497,884,216,569",18982,Silent
Montenegro,2010,female,35-54 years,1,882968,4.41,Barbados2010,0.894,"4,461,650,000",4148,Generation X
Denmark,2001,male,55-74 years,272,6501375,34.21,France1992,,"1,401,465,923,172",9680,Silent
Israel,2000,female,5-14 years,13,544804,0.0,Republic of Korea1995,,"556,130,926,913",22286,Millenials
Kuwait,1996,female,15-24 years,15,735312,2.77,El Salvador1996,,"9,586,327,800",7398,Generation X
Belarus,2003,male,55-74 years,1010,884044,21.86,Saint Vincent and Grenadines1985,,"145,641,704",18007,Silent
Spain,1987,male,25-34 years,1256,3287508,9.99,Slovakia2014,,"100,948,236,941",22954,Generation X
Trinidad and Tobago,2002,male,25-34 years,977,1758849,18.27,Albania2003,,"5,746,945,913",9809,Generation X
Seychelles,1998,male,35-54 years,19,38454,4.06,Saint Lucia1993,,"574,870,405",3348,Generation X
Turkmenistan,2000,female,75+ years,25,6009125,2.75,Turkey2015,,"859,796,872,794",20778,Boomers
Georgia,2006,female,5-14 years,0,278,0.29,Croatia2004,,"41,574,530,816",31340,Millenials
Italy,2007,female,75+ years,1,278,10.7,Belize1995,,"620,140,400",26223,Silent
Mexico,1999,male,55-74 years,9,130366,40.69,Luxembourg1991,,"14,321,878,795",6771,Silent
South Africa,2006,female,5-14 years,0,3658971,0.0,Ireland1996,,"75,880,632,560",27267,Generation Z
South Africa,1996,female,5-14 years,0,127100,0.0,Guatemala1998,,"19,395,491,993",16748,Millenials
Australia,1993,male,35-54 years,44,1364080,59.77,Italy1994,,"1,095,590,833,694",3669,Generation X
Trinidad and Tobago,2006,male,35-54 years,77,17241,18.19,Azerbaijan2003,0.729,"8,453,704,212",6357,Boomers
Barbados,1998,female,35-54 years,0,20528,0.24,Brazil1994,,"558,111,997,497",6016,Millenials
Argentina,2013,male,15-24 years,0,104665,7.93,Argentina2007,,"287,530,508,431",5972,Millenials
Uruguay,2010,female,5-14 years,7,1071106,0.0,Uruguay2003,0.674,"12,045,631,093",6646,Generation Z
Belize,2000,female,35-54 years,0,278,0.03,Greece2002,0.725,"153,830,947,017",6979,Silent
Seychelles,2005,male,25-34 years,103,302344,15.91,Saint Lucia2006,,"967,199,594",5129,Generation X
Suriname,2001,female,75+ years,0,278,0.39,Suriname2008,0.659,"3,532,969,035",24041,G.I. Generation
Lithuania,1995,female,25-34 years,265,10696217,15.17,Lithuania2011,,"43,476,873,413",36981,Generation X
Republic of Korea,2007,male,25-34 years,57,3387013,7.8,Romania1990,,"574,870,405",7235,Generation X
Georgia,1986,male,25-34 years,264,918723,20.61,Grenada2011,0.638,"778,648,667",2331,Generation X
Uruguay,1995,male,25-34 years,97,380729,15.69,Italy1988,,"25,226,393,197",2036,Generation X
Colombia,1987,female,75+ years,330,915462,12.13,Colombia1992,0.718,"49,279,585,355",23396,G.I. Generation
Sri Lanka,2001,male,55-74 years,1651,661260,46.25,Portugal1997,,"117,046,198,971",4313,Silent
Ecuador,1991,female,35-54 years,11,831213,3.09,Ecuador2003,,"32,432,858,000",2531,Boomers
Ukraine,1987,female,35-54 years,602,3154564,44.98,Ukraine2014,,"133,503,411,376",2523,Boomers
Ecuador,1995,male,25-34 years,63,511045,8.9,Finland1991,0.821,"127,866,490,222",1735,Millenials
Spain,1987,female,15-24 years,199,2585093,21.24,Panama1985,,"6,541,517,100",24220,Generation X
Cyprus,2010,female,75+ years,0,45981,0.23,Greece1985,0.726,"47,820,850,975",4606,Silent
El Salvador,1999,female,35-54 years,19,527695,13.58,Russian Federation2012,,"2,210,256,976,945",6123,Boomers
Slovenia,1999,male,5-14 years,0,244707,0.24,Mongolia2016,,"11,183,458,131",4762,Generation Z
Czech Republic,1999,male,25-34 years,113,499779,4.9,Georgia2015,,"13,993,546,732",20090,Millenials
United States,2004,male,75+ years,4037,290802,26.89,United Kingdom1999,,"1,665,623,685,488",36651,Silent
Latvia,2005,female,35-54 years,657,2316105,4.35,Romania2006,,"123,533,036,668",55024,Boomers
Italy,2002,male,5-14 years,810,2628432,10.8,Kazakhstan2012,,"207,998,568,866",22727,Generation X
Sri Lanka,1985,female,35-54 years,2307,4211743,12.46,Spain2009,,"1,499,099,749,931",2902,Boomers
Mauritius,1985,male,75+ years,0,278,0.14,Armenia1999,,"1,845,482,181",6627,Silent
Bulgaria,1990,female,75+ years,10,25682,16.73,Bulgaria2006,0.816,"34,130,122,491",7818,Silent
Israel,1994,female,75+ years,801,310260,16.67,Israel2004,,"135,445,033,199",2673,G.I. Generation
Mauritius,2006,male,35-54 years,788,5736701,13.29,Greece2008,,"354,460,802,549",6244,Boomers
Bahrain,2006,female,5-14 years,0,57672,0.0,Bulgaria1993,,"10,829,710,145",6814,Generation Z
Bahrain,2011,female,55-74 years,8,278,0.08,Barbados1989,0.777,"2,015,731,029",27580,Silent
Uruguay,1995,female,75+ years,648,221592,10.14,United Kingdom1993,,"1,061,388,722,256",3785,G.I. Generation
Colombia,1998,female,25-34 years,17,148805,0.92,Ireland1994,0.666,"57,166,037,102",3416,Generation X
Ireland,1988,male,25-34 years,2018,241811,38.64,Chile2002,,"69,736,811,435",43774,Generation X
Uzbekistan,2008,female,55-74 years,328,2711533,4.27,Australia1998,0.67,"398,899,138,574",7364,Silent
United Kingdom,2008,female,5-14 years,693,12187826,4.66,United Arab Emirates2009,,"253,547,358,747",31594,Millenials
Puerto Rico,1988,female,75+ years,951,7571385,65.3,Portugal2002,,"134,228,697,534",4559,G.I. Generation
Mauritius,2003,female,55-74 years,2,43412,19.44,Oman2014,,"81,076,723,017",5119,Silent
Switzerland,1993,female,55-74 years,108,650665,12.42,Switzerland1995,,"342,617,007,104",4144,G.I. Generation
Trinidad and Tobago,1988,female,75+ years,0,86811,3.29,Jamaica1986,,"2,754,566,176",14990,Silent
Kyrgyzstan,1987,female,5-14 years,0,117173,0.72,Mauritius2003,,"5,609,831,328",3267,Millenials
Argentina,1999,male,25-34 years,666,490252,24.41,Thailand1986,0.893,"43,096,746,122",53681,Generation X
Japan,2000,female,25-34 years,826,10115059,21.64,Portugal2009,,"243,745,748,819",26956,Generation X
Costa Rica,2014,female,55-74 years,1,435962,1.93,Panama2009,0.759,"27,116,635,600",6742,Silent
Puerto Rico,1996,male,75+ years,26,278,0.19,Paraguay2013,,"28,965,906,502",4424,Silent
Montenegro,1985,male,5-14 years,0,128170,0.24,Netherlands2005,,"678,533,764,457",6824,Millenials
Azerbaijan,2005,female,15-24 years,11,135211,0.49,Bulgaria2010,,"50,610,058,210",7066,Generation X
United Kingdom,2015,female,5-14 years,7,3527532,0.12,Switzerland2007,0.813,"554,363,487,120",2663,Generation Z
Denmark,1998,male,15-24 years,11,278,0.0,New Zealand1991,,"42,756,020,707",28199,Generation Z
Greece,2013,male,55-74 years,1740,3735274,53.21,Greece1997,0.673,"143,157,600,025",2924,Silent
Portugal,2006,male,75+ years,12,56465,23.37,Portugal2000,,"118,358,489,958",6246,G.I. Generation
Thailand,1985,male,15-24 years,41,2516913,10.13,Estonia2000,0.646,"5,685,774,809",3675,Generation X
Portugal,1999,male,25-34 years,2,278,2.09,Poland2010,,"479,321,460,551",11317,Generation X
South Africa,1987,female,25-34 years,8,1726818,2.35,France2006,,"2,318,593,651,988",7972,Generation X
Denmark,2008,male,55-74 years,106,1062037,4.85,Czech Republic2010,,"207,477,857,919",7612,Silent
Antigua and Barbuda,1992,female,15-24 years,0,54520,0.31,Czech Republic2012,,"207,376,427,021",25948,Millenials
Italy,2002,male,75+ years,76,9923611,31.72,Portugal1992,,"107,602,689,041",24396,Silent
Spain,1997,female,55-74 years,10,454055,0.16,Spain2002,,"705,145,868,624",8134,Silent
Malta,1986,male,15-24 years,0,21056,0.07,Mauritius1996,0.764,"4,421,943,910",16491,Millenials
Jamaica,2005,male,55-74 years,100,525473,16.23,Republic of Korea2009,,"901,934,953,365",8845,Silent
Costa Rica,1992,female,25-34 years,16,1087573,2.02,Albania2007,,"10,701,011,897",2968,Generation X
Greece,2010,female,5-14 years,61,1376430,2.96,Guatemala1986,0.778,"7,231,963,516",7243,Millenials
Uruguay,1997,female,35-54 years,0,251529,3.73,Barbados1993,,"2,046,189,032",13536,Silent
Turkmenistan,2006,male,55-74 years,819,770686,83.14,Cyprus2012,,"25,041,372,222",17469,Silent
Colombia,2015,female,5-14 years,12,2964961,0.0,Sweden1987,0.628,"180,429,286,796",6648,Millenials
Philippines,2002,male,25-34 years,0,105294,0.47,Denmark2003,0.669,"218,095,997,085",2549,Generation X
Brazil,1985,female,55-74 years,382,8296179,10.77,Slovakia2005,,"62,697,540,107",3916,Silent
Trinidad and Tobago,1996,female,35-54 years,77,497607,4.45,Trinidad and Tobago1986,,"4,794,444,444",1377,Boomers
Singapore,2006,female,5-14 years,2,13479,0.51,Singapore1997,0.914,"100,163,995,151",49846,Generation Z
New Zealand,1985,male,25-34 years,1079,4491492,47.69,Mexico2003,,"729,336,319,677",12538,Generation X
Spain,2004,male,25-34 years,1041,4406939,21.95,San Marino2000,,"1,101,897,918",26677,Generation X
Suriname,1999,male,25-34 years,4,278,18.44,Poland2007,,"429,063,549,984",22618,Generation X
Turkmenistan,1986,female,75+ years,21,417119,2.32,Aruba2004,,"2,228,279,330",1958,Silent
Jamaica,1998,female,55-74 years,0,97611,0.42,Portugal1993,,"95,019,103,603",7045,Silent
France,1996,female,5-14 years,12,1090485,0.0,Colombia2000,,"99,886,577,331",49655,Millenials
Hungary,2001,male,35-54 years,171,4743287,19.88,Ireland1985,,"21,295,486,383",28678,Generation X
Romania,2006,male,75+ years,0,278,2.66,Portugal1995,,"118,133,634,072",32987,Silent
Ukraine,2004,female,75+ years,70,714878,74.99,Sweden2008,,"81,456,918,679",30555,G.I. Generation
Slovenia,2014,male,25-34 years,1403,847274,17.63,Slovenia1997,,"20,749,140,606",44723,Boomers
Estonia,2002,male,75+ years,82,278,39.46,Republic of Korea1999,,"485,248,229,337",8575,Silent
Lithuania,2010,male,35-54 years,72,737277,19.16,Barbados1990,0.837,"2,023,318,252",6760,Boomers
El Salvador,2003,female,25-34 years,254,2159134,10.73,Kazakhstan1997,,"22,165,932,063",908,Generation X
Argentina,2014,female,35-54 years,387,1364045,11.56,Trinidad and Tobago1991,,"5,307,905,882",30561,Boomers
Ireland,2004,female,5-14 years,7,6237,0.78,Brazil1996,,"850,426,432,992",27954,Generation X
Antigua and Barbuda,1993,male,15-24 years,0,278,0.67,Antigua and Barbuda1991,,"481,706,333",5635,Generation X
United Kingdom,2003,male,25-34 years,61,3027706,2.19,Hungary1992,0.653,"172,611,845,342",6600,Generation X
Argentina,1997,female,25-34 years,11,2927597,10.99,Thailand2003,0.682,"152,280,653,544",5793,Generation X
Belize,1986,male,25-34 years,91,825204,11.23,Iceland2012,,"14,292,008,745",6010,Generation X
Belgium,2001,female,75+ years,91,392463,20.11,Belgium1999,,"260,202,429,150",6870,Silent
Norway,2014,male,75+ years,135,1234176,72.94,Suriname1991,,"448,300,000",2513,Silent
New Zealand,1997,female,25-34 years,21,3040671,0.0,Republic of Korea1998,,"24,595,319,574",29052,Millenials
Netherlands,2010,female,5-14 years,0,22853,0.09,Montenegro2007,,"3,680,710,375",8284,Generation X
Colombia,2014,female,15-24 years,98,2758647,4.59,Norway1991,0.823,"121,872,464,483",15851,Generation X
Uruguay,1996,female,75+ years,245,1779764,15.73,Uruguay1998,,"25,385,928,198",2935,G.I. Generation
Portugal,1985,female,55-74 years,62,178524,0.38,Japan2000,,"4,887,519,660,745",1626,Silent
Georgia,2000,female,35-54 years,23,435257,24.38,Georgia2004,,"5,125,363,001",47737,Boomers
Albania,1988,male,75+ years,26,67582,1.0,United Arab Emirates2009,,"253,547,358,747",1637,G.I. Generation
Iceland,1998,male,35-54 years,12,987057,4.19,Ireland1994,,"57,166,037,102",7403,Generation X
Canada,2002,female,55-74 years,11,977019,0.58,Colombia2000,,"99,886,577,331",23211,Silent
Uruguay,1996,female,35-54 years,58,496023,8.02,Trinidad and Tobago2004,,"13,280,275,123",2724,Boomers
Norway,1998,female,15-24 years,0,284052,3.02,Norway2012,,"264,357,494,659",18087,Generation X
Malta,2006,male,55-74 years,0,3195,0.11,Singapore1994,,"73,777,792,327",15295,Silent
Iceland,2000,female,55-74 years,5,278,3.78,Iceland1989,,"5,588,533,007",7780,Silent
Ecuador,2009,female,35-54 years,73,994630,3.71,Estonia1998,,"5,617,109,245",8803,Boomers
Canada,1992,female,55-74 years,14,856430,0.6,New Zealand1998,0.656,"56,227,696,195",2557,Boomers
Spain,2005,male,15-24 years,754,1933975,18.91,Iceland1990,,"6,372,905,073",6763,Millenials
Guyana,2004,female,5-14 years,34,866396,9.33,Canada1998,,"631,813,279,407",36210,Millenials
Jamaica,1994,male,55-74 years,233,564084,26.25,Bahrain1988,,"3,702,393,617",11648,Boomers
France,2006,female,35-54 years,651,2338139,6.4,Ireland2014,0.885,"396,332,702,639",41424,Boomers
Fiji,2001,female,15-24 years,0,460281,3.97,Ecuador2002,,"28,548,945,000",20933,Millenials
Hungary,1987,female,35-54 years,373,1519255,7.9,Guatemala2000,,"19,288,827,159",20443,Boomers
Belize,2008,female,5-14 years,0,67773,0.0,Belize1990,,"413,050,000",26532,Generation Z
Austria,1986,male,25-34 years,23,311992,0.95,Maldives2004,,"1,226,829,563",27404,Boomers
Bahamas,1991,female,15-24 years,1,2080,0.0,El Salvador2012,,"21,386,153,000",23520,Millenials
United Kingdom,1990,female,15-24 years,74,3494419,2.6,United Kingdom2002,,"1,768,408,273,381",2974,Generation X
Saint Vincent and Grenadines,1998,male,5-14 years,9,1214029,0.05,Netherlands1987,,"241,918,791,123",9349,Millenials
Saint Lucia,2005,female,15-24 years,10,63912,3.72,Portugal2012,,"216,368,178,659",6307,Millenials
Norway,2010,male,5-14 years,12,226066,11.88,Mauritius1993,0.822,"3,263,368,410",46672,Generation X
Albania,1992,female,75+ years,53,398614,5.18,Australia2010,0.579,"1,144,260,547,873",1372,G.I. Generation
Saint Lucia,2000,female,35-54 years,0,18166,0.0,Suriname1987,,"979,850,000",43328,Boomers
Kyrgyzstan,1986,female,5-14 years,0,1138611,0.8,Finland1997,0.617,"126,833,123,354",251,Millenials
Italy,1985,female,35-54 years,530,698248,9.7,Jamaica2000,,"8,985,352,832",29210,Boomers
Bahrain,2003,female,35-54 years,15,99824,4.27,Finland2011,0.834,"273,674,236,773",6298,Boomers
Colombia,2001,female,15-24 years,0,1185556,3.81,Azerbaijan1996,,"3,176,749,593",5522,Generation X
Thailand,1995,male,75+ years,295,419645,41.21,Switzerland2001,,"278,631,271,391",6072,Boomers
Armenia,2001,male,35-54 years,0,278,0.79,Brazil1985,0.729,"222,942,790,435",1016,Boomers
Italy,1988,female,25-34 years,227,1618823,4.96,Cuba1998,0.661,"25,736,331,247",8040,Generation X
Portugal,1987,male,25-34 years,7325,189811,36.31,Latvia2000,,"7,937,758,980",24436,Boomers
Greece,1987,female,25-34 years,74,456356,8.3,Hungary2006,,"115,295,199,392",32189,Boomers
Israel,2003,male,55-74 years,49,234594,39.63,Kazakhstan2009,0.835,"115,308,661,143",56772,Boomers
Kyrgyzstan,1985,male,75+ years,177,55384,51.82,Bahamas2003,,"8,870,090,000",25449,G.I. Generation
Russian Federation,1993,female,35-54 years,78,2048059,12.77,Bahamas2005,,"9,836,200,000",54619,Boomers
Slovenia,1987,male,75+ years,128,300559,51.58,Republic of Korea1989,,"243,526,047,717",4834,Silent
United Kingdom,2000,female,25-34 years,832,3334951,9.07,United Kingdom2004,,"2,398,555,474,185",40775,Boomers
Luxembourg,2001,male,75+ years,14,14220,41.5,Mauritius2007,,"8,150,138,757",19672,G.I. Generation
Ukraine,1995,female,25-34 years,103,1515243,10.13,United States1998,0.651,"9,089,168,000,000",251,Boomers
Bulgaria,1985,female,5-14 years,7,412865,0.36,Colombia1992,,"49,279,585,355",21964,Silent
Latvia,1990,male,35-54 years,4,107529,2.93,Kyrgyzstan2003,,"1,919,012,781",14222,Boomers
Slovakia,2013,male,35-54 years,68,71623,69.13,Slovakia2013,0.777,"98,478,349,315",4384,Boomers
Trinidad and Tobago,1987,female,25-34 years,4,278,2.84,Trinidad and Tobago2005,,"15,982,282,462",2594,Generation X
Republic of Korea,1996,male,75+ years,925,4035475,83.4,Saint Lucia1993,,"574,870,405",21807,G.I. Generation
Russian Federation,1997,male,25-34 years,9,2544578,40.21,Suriname1988,,"1,160,900,000",3337,Generation X
Chile,2013,male,15-24 years,262,1089312,18.41,Chile2012,0.828,"267,122,320,057",31407,Millenials
Malta,2007,male,5-14 years,0,278,0.0,Netherlands1995,,"446,528,959,649",10811,Generation Z
Ukraine,2003,female,35-54 years,1179,4267168,7.15,United States1988,,"5,252,629,000,000",1475,Boomers
Serbia,2013,female,35-54 years,25,411441,10.21,Singapore1997,,"100,163,995,151",6819,Boomers
Montenegro,1986,female,5-14 years,0,66327,0.59,Austria1987,0.637,"124,168,442,860",5781,Generation X
Lithuania,2013,female,35-54 years,626,2982437,6.86,Italy2012,0.902,"2,072,823,157,060",53747,Generation X
Denmark,2002,female,35-54 years,140,775954,8.05,Bulgaria1996,,"10,109,612,142",43641,Boomers
Belgium,1989,female,55-74 years,247,2624637,10.18,Belize1986,,"227,850,000",7251,Generation X
Japan,1990,male,25-34 years,726,9820361,33.06,Kyrgyzstan2015,,"6,678,178,340",48445,Boomers
Hungary,2011,male,55-74 years,48,278,0.23,South Africa1996,,"147,607,982,695",14999,Silent
Qatar,1997,female,55-74 years,18,3149683,3.19,Republic of Korea2014,,"1,411,333,926,201",4339,Silent
Ukraine,1998,male,55-74 years,7,278,15.28,France2007,,"2,657,213,249,384",32245,G.I. Generation
Belarus,2005,female,5-14 years,2,290108,0.75,Georgia1998,,"3,613,500,117",7993,Silent
Bulgaria,1987,female,25-34 years,7,442739,3.47,United Arab Emirates2005,,"180,617,018,380",780,Generation X
Sweden,2009,male,75+ years,83,577578,76.14,Finland1991,0.915,"127,866,490,222",40807,Silent
Russian Federation,1992,female,35-54 years,124,1278561,5.3,Czech Republic2013,,"209,402,444,996",3486,Boomers
Fiji,2002,female,5-14 years,0,488612,0.69,Czech Republic1993,,"40,614,350,197",7855,Millenials
Turkey,1989,male,15-24 years,0,234490,4.82,Jamaica2004,,"10,150,978,155",1816,G.I. Generation
Belarus,1992,female,15-24 years,12,268203,3.05,Ecuador2011,,"79,276,664,000",21362,Generation X
Canada,2009,female,55-74 years,502,1250543,7.56,Canada2009,0.894,"1,371,153,004,986",19083,Silent
Finland,2000,female,75+ years,34,94611,18.61,Denmark1996,,"187,632,400,366",7610,G.I. Generation
Spain,1986,male,55-74 years,870,2370718,24.31,Slovenia2012,0.722,"46,352,802,766",65604,Boomers
